Date, Close/Last, Volume, Open, High, Low
08/20/2019, $80.53, 5903126, $80.72, $81.23, $79.45
08/19/2019, $81.13, 7027942, $82, $82.34, $80.83
08/16/2019, $80.28, 5648999, $80.09, $80.56, $79.25
08/15/2019, $79.51, 6713615, $80.93, $81.3, $79.44
08/14/2019, $81.03, 7266253, $81.24, $81.69, $80.51
08/13/2019, $83.32, 6940602, $81.17, $84.15, $80.85
08/12/2019, $81.65, 3762631, $81.41, $81.95, $81.18
08/09/2019, $81.98, 5460193, $83.14, $83.43, $81.32
08/08/2019, $83, 6208980, $81.81, $83.36, $81.6092
08/07/2019, $81.28, 6275010, $80.5, $81.82, $80.09
08/06/2019, $81.3, 8664534, $79.85, $81.59, $79.49
08/05/2019, $78.97, 8493272, $79.66, $80.05, $78.185
08/02/2019, $81.14, 8761409, $82.53, $83.24, $80.79
08/01/2019, $83.12, 7871849, $85.26, $86.77, $82.7
07/31/2019, $86.03, 5818168, $87.09, $87.27, $85.55
07/30/2019, $87.2, 3562999, $86.82, $87.9108, $86.36
07/29/2019, $87.62, 4387337, $87.65, $87.87, $87.18
07/26/2019, $87.54, 3707249, $87.44, $87.84, $86.77
07/25/2019, $87.28, 4546496, $86.82, $87.5, $86.59
07/24/2019, $86.7, 6362911, $86.65, $87.21, $86.305
07/23/2019, $86.7, 5659933, $86.64, $87.1, $86.23
07/22/2019, $85.97, 6810325, $86.56, $86.99, $85.83
07/19/2019, $86.55, 6635634, $87.73, $87.88, $86.48
07/18/2019, $87.44, 4609157, $87.63, $87.76, $86.755
07/17/2019, $87.5, 4461701, $88.42, $88.685, $87.44
07/16/2019, $88.6, 5812813, $89.5, $89.7077, $88.57
07/15/2019, $89.48, 3751294, $89.06, $89.87, $89.06
07/12/2019, $89.12, 4240956, $88.18, $89.31, $88.01
07/11/2019, $88.29, 3942358, $87.71, $88.3, $87.4
07/10/2019, $87.44, 5985455, $88.48, $88.94, $87.39
07/09/2019, $88.04, 6219722, $88.1, $88.8, $87.82
07/08/2019, $88.48, 7051999, $86.06, $88.52, $85.97
07/05/2019, $86.82, 6440908, $85.8, $86.91, $85.42
07/03/2019, $86.2, 4012837, $85.33, $86.2901, $85.12
07/02/2019, $84.96, 7189294, $85.36, $85.47, $84.22
07/01/2019, $85.41, 6607555, $84.93, $86.28, $84.9
06/28/2019, $83.95, 12443840, $83.99, $84.75, $82.67
06/27/2019, $83.66, 11436710, $82.93, $83.77, $82.93
06/26/2019, $82.55, 5838460, $83.15, $83.69, $82.44
06/25/2019, $82.62, 7339868, $84.6, $84.69, $82.16
06/24/2019, $84.5, 8043728, $86, $86.85, $84.365
06/21/2019, $85.75, 9289833, $85.16, $85.75, $84.6
06/20/2019, $85.24, 6163840, $84.9, $85.67, $84.42
06/19/2019, $83.55, 6217785, $83.73, $83.9, $83.14
06/18/2019, $84.3, 6456476, $82.7, $84.645, $82.5
06/17/2019, $82.11, 5101891, $83.34, $83.46, $82.01
06/14/2019, $83.44, 4355606, $83.51, $83.855, $83.04
06/13/2019, $83.61, 3383394, $83.15, $83.915, $83.045
06/12/2019, $82.63, 4026188, $83.48, $84.02, $82.52
06/11/2019, $83.26, 3939370, $83.65, $84.335, $83.125
06/10/2019, $82.58, 4419758, $83.75, $84.2, $82.45
06/07/2019, $83.41, 3891114, $83.09, $83.68, $82.81
06/06/2019, $82.45, 4952974, $82.72, $83.06, $82.08
06/05/2019, $82.72, 8173198, $82.29, $82.9, $81.93
06/04/2019, $81.62, 7526860, $79.3, $81.65, $78.78
06/03/2019, $77.96, 11665480, $77.24, $78.58, $77.08
05/31/2019, $77.14, 8891080, $78, $78.26, $77.07
05/30/2019, $79.26, 6177832, $78.92, $79.73, $78.61
05/29/2019, $78.87, 10116910, $80.71, $80.86, $77.7
05/28/2019, $81.2, 7927485, $82.85, $83.19, $81.13
